yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh40_ws5_quantile,3,0.4,0.05,0.4728,95.0,2473,1280,95,1098
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws40_quantile,3,0.35,0.4,0.4769,95.0,2425,1108,642,675
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws40_quantile,3,0.1,0.4,0.4776,99.0,2385,1099,588,698
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws30_quantile,3,0.35,0.3,0.4797,99.0,2332,1075,553,704
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws10_quantile,3,0.35,0.1,0.5218,95.0,2446,1121,195,1130
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws15_quantile,3,0.35,0.15,0.5326,98.0,2464,1078,295,1091
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws10_quantile,3,0.1,0.1,0.5335,95.0,2433,1099,144,1190
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws30_quantile,3,0.3,0.3,0.537,97.0,2398,970,561,867
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws40_quantile,3,0.25,0.4,0.5384,99.0,2279,869,732,678
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh35_ws5_quantile,3,0.35,0.05,0.5409,95.0,2433,1091,104,1238
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws20_quantile,3,0.3,0.2,0.5448,97.0,2368,974,416,978
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws15_quantile,3,0.3,0.15,0.5571,96.0,2351,955,345,1051
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws30_quantile,3,0.25,0.3,0.564,99.0,2333,868,597,868
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws15_quantile,3,0.05,0.15,0.5749,96.0,2384,958,222,1204
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws5_quantile,3,0.05,0.05,0.5814,97.0,2368,971,81,1316
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh30_ws5_quantile,3,0.3,0.05,0.594,94.0,2438,957,131,1350
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws10_quantile,3,0.25,0.1,0.6179,98.0,2358,845,224,1289
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws15_quantile,3,0.25,0.15,0.6351,97.0,2381,782,347,1252
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws30_quantile,3,0.2,0.3,0.6385,98.0,2318,672,664,982
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws40_quantile,3,0.15,0.4,0.6531,100.0,2186,538,881,767
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh25_ws5_quantile,3,0.25,0.05,0.6627,92.0,2471,807,106,1558
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws15_quantile,3,0.2,0.15,0.6645,99.0,2299,684,349,1266
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws20_quantile,3,0.2,0.2,0.6665,98.0,2319,652,486,1181
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws30_quantile,3,0.15,0.3,0.6895,99.0,2236,521,693,1022
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh20_ws5_quantile,3,0.2,0.05,0.7301,94.0,2402,609,157,1636
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws10_quantile,3,0.15,0.1,0.7344,99.0,2224,526,259,1439
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws30_quantile,3,0.1,0.3,0.7497,98.0,2231,381,710,1140
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws15_quantile,3,0.15,0.15,0.7543,95.0,2367,513,274,1580
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh15_ws5_quantile,3,0.15,0.05,0.7698,97.0,2272,497,104,1671
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws20_quantile,3,0.1,0.2,0.7795,97.0,2272,393,432,1447
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws15_quantile,3,0.1,0.15,0.7959,98.0,2212,354,390,1468
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws40_quantile,3,0.05,0.4,0.8004,99.0,2182,207,914,1061
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh10_ws5_quantile,3,0.1,0.05,0.8258,98.0,2245,367,96,1782
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws30_quantile,3,0.05,0.3,0.845,96.0,2239,182,660,1397
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws20_quantile,3,0.05,0.2,0.8698,97.0,2257,176,471,1610
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@12_robot_state@56__d3__fh5_ws10_quantile,3,0.05,0.1,0.8928,99.0,2230,184,220,1826
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh80_ws5_quantile,4,0.8,0.05,0.2905,81.0,2641,1855,75,711
