yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh40_ws20_quantile,3,0.4,0.2,0.5687,79.0,6331,2506,899,2926
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh25_ws10_quantile,3,0.25,0.1,0.5789,76.0,6516,2592,607,3317
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh20_ws20_quantile,3,0.2,0.2,0.584,77.0,6607,2505,975,3127
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh30_ws30_quantile,3,0.3,0.3,0.6045,83.0,5983,1983,1533,2467
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh15_ws30_quantile,3,0.15,0.3,0.6236,73.0,6544,2007,1824,2713
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh10_ws40_quantile,3,0.1,0.4,0.6524,80.0,6203,1523,2532,2148
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh15_ws10_quantile,3,0.15,0.1,0.6583,76.0,6567,2052,768,3747
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh30_ws10_quantile,3,0.3,0.1,0.6665,87.0,5808,1800,549,3459
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh25_ws40_quantile,3,0.25,0.4,0.6671,86.0,5899,1480,1934,2485
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh15_ws5_quantile,3,0.15,0.05,0.6674,73.0,6741,2151,364,4226
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh30_ws5_quantile,3,0.3,0.05,0.6786,83.0,6127,1893,304,3930
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh10_ws20_quantile,3,0.1,0.2,0.6814,80.0,6260,1575,1677,3008
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh25_ws20_quantile,3,0.25,0.2,0.689,84.0,5967,1590,1062,3315
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh20_ws30_quantile,3,0.2,0.3,0.7225,82.0,6044,1291,1544,3209
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh15_ws40_quantile,3,0.15,0.4,0.7297,88.0,5707,1034,2035,2638
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh5_ws30_quantile,3,0.05,0.3,0.7411,76.0,6387,994,2639,2754
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh20_ws10_quantile,3,0.2,0.1,0.7511,85.0,5917,1343,520,4054
