label,repeat,query_id,ms
cross_0.99,0,episode_0038_20260421_151615_368946:49,0.766104
cross_0.99,0,episode_0049_20260421_152610_845700:45,0.947361
cross_0.99,0,episode_0013_20260421_150147_027824:12,1.132857
cross_0.99,0,episode_0039_20260421_151648_760002:42,0.713872
cross_0.99,0,episode_0012_20260421_154958_870693:36,1.03836
cross_0.99,0,episode_0039_20260421_151648_760002:0,1.017985
cross_0.99,0,episode_0021_20260421_150651_911856:32,0.841668
cross_0.99,0,episode_0019_20260421_150552_473180:29,1.005934
cross_0.99,0,episode_0012_20260421_154958_870693:23,0.784572
cross_0.99,0,episode_0018_20260421_150514_387668:40,0.994223
cross_0.99,0,episode_0004_20260421_145514_975870:18,0.803108
cross_0.99,0,episode_0041_20260421_151903_896858:50,1.18942
cross_0.99,0,episode_0031_20260421_151130_944018:5,0.759499
cross_0.99,0,episode_0013_20260421_150147_027824:26,1.046509
cross_0.99,0,episode_0020_20260421_150623_961895:41,0.785229
cross_0.99,0,episode_0041_20260421_151903_896858:69,1.352182
cross_0.99,0,episode_0038_20260421_151615_368946:25,0.663711
cross_0.99,0,episode_0025_20260421_150833_216666:4,0.637738
cross_0.99,0,episode_0038_20260421_151615_368946:27,0.600542
cross_0.99,0,episode_0018_20260421_150514_387668:6,0.871814
cross_0.99,0,episode_0031_20260421_151130_944018:26,0.666473
cross_0.99,0,episode_0011_20260421_150015_983808:13,0.869239
cross_0.99,0,episode_0008_20260421_145723_705415:11,0.539699
cross_0.99,0,episode_0014_20260421_155029_148974:9,0.809334
cross_0.99,0,episode_0016_20260421_150341_358525:43,0.929884
cross_0.99,0,episode_0046_20260421_152356_583015:13,0.733292
cross_0.99,0,episode_0014_20260421_150234_937358:53,0.846823
cross_0.99,0,episode_0006_20260421_145620_818834:27,0.517802
cross_0.99,0,episode_0017_20260421_150415_357328:15,0.841933
cross_0.99,0,episode_0014_20260421_155029_148974:40,0.601094
cross_0.99,0,episode_0007_20260421_145652_045135:34,0.735716
cross_0.99,0,episode_0030_20260421_151104_740343:22,0.687663
cross_0.99,0,episode_0026_20260421_150856_396048:34,0.462212
cross_0.99,0,episode_0007_20260421_145652_045135:1,0.51926
cross_0.99,0,episode_0000_20260421_145256_951882:13,0.569589
cross_0.99,0,episode_0046_20260421_152356_583015:48,0.70518
cross_0.99,0,episode_0022_20260421_150717_548811:40,0.608002
cross_0.99,0,episode_0041_20260421_151903_896858:5,1.497193
cross_0.99,0,episode_0042_20260421_152010_071054:62,1.26061
cross_0.99,0,episode_0035_20260421_151345_521435:26,0.697665
cross_0.99,0,episode_0005_20260421_145548_769987:23,0.610168
cross_0.99,0,episode_0040_20260421_151756_437258:38,0.964361
cross_0.99,0,episode_0004_20260421_145514_975870:7,0.56698
cross_0.99,0,episode_0008_20260421_145723_705415:41,0.546462
cross_0.99,0,episode_0021_20260421_150651_911856:7,0.585567
cross_0.99,0,episode_0007_20260421_145652_045135:31,0.484933
cross_0.99,0,episode_0034_20260421_151316_981830:17,0.650457
cross_0.99,0,episode_0026_20260421_150856_396048:14,0.612783
cross_0.99,0,episode_0020_20260421_150623_961895:30,0.61102
cross_0.99,0,episode_0042_20260421_152010_071054:23,0.960219
cross_0.98,0,episode_0019_20260421_150552_473180:24,0.641232
cross_0.98,0,episode_0018_20260421_155250_742134:22,0.581869
cross_0.98,0,episode_0049_20260421_152610_845700:50,0.671214
cross_0.98,0,episode_0014_20260421_150234_937358:10,0.706071
cross_0.98,0,episode_0038_20260421_151615_368946:50,0.482813
cross_0.98,0,episode_0027_20260421_150917_326437:0,0.40251
cross_0.98,0,episode_0013_20260421_150147_027824:5,0.723407
cross_0.98,0,episode_0042_20260421_152010_071054:57,0.81223
cross_0.98,0,episode_0006_20260421_145620_818834:31,0.658582
cross_0.98,0,episode_0031_20260421_151130_944018:46,0.544865
cross_0.98,0,episode_0041_20260421_151903_896858:66,0.804028
cross_0.98,0,episode_0041_20260421_151903_896858:72,0.93544
cross_0.98,0,episode_0045_20260421_152322_258450:32,0.66795
cross_0.98,0,episode_0030_20260421_151104_740343:24,0.538288
cross_0.98,0,episode_0004_20260421_145514_975870:27,0.517104
cross_0.98,0,episode_0016_20260421_155154_891362:71,0.929703
cross_0.98,0,episode_0001_20260421_145332_810413:11,0.490603
cross_0.98,0,episode_0045_20260421_152322_258450:23,0.592466
cross_0.98,0,episode_0030_20260421_151104_740343:25,0.570842
cross_0.98,0,episode_0006_20260421_145620_818834:29,0.518693
cross_0.98,0,episode_0012_20260421_150109_113391:3,0.688392
cross_0.98,0,episode_0026_20260421_150856_396048:3,1.665275
cross_0.98,0,episode_0004_20260421_154909_939096:11,0.906148
cross_0.98,0,episode_0047_20260421_152429_961806:41,1.081945
cross_0.98,0,episode_0019_20260421_150552_473180:43,0.743119
cross_0.98,0,episode_0006_20260421_145620_818834:16,0.58117
cross_0.98,0,episode_0017_20260421_150415_357328:0,0.759534
cross_0.98,0,episode_0003_20260421_145442_230258:5,0.514783
cross_0.98,0,episode_0000_20260421_145256_951882:44,0.484801
cross_0.98,0,episode_0039_20260421_151648_760002:44,0.577934
cross_0.98,0,episode_0019_20260421_150552_473180:19,0.641213
cross_0.98,0,episode_0001_20260421_145332_810413:5,0.43
cross_0.98,0,episode_0041_20260421_151903_896858:44,0.92564
cross_0.98,0,episode_0013_20260421_150147_027824:36,0.710006
