label,repeat,query_id,ms
cross_0.975,0,episode_0002_20260410_010929_991358:15,0.933166
cross_0.975,0,episode_0016_20260410_011401_521914:11,0.896286
cross_0.975,0,episode_0032_20260410_011958_314386:13,0.895307
cross_0.975,0,episode_0038_20260410_012213_950266:2,1.134243
cross_0.975,0,episode_0033_20260410_012019_825828:12,0.962577
cross_0.975,0,episode_0009_20260410_011147_027725:0,1.487725
cross_0.975,0,episode_0037_20260410_012148_210072:21,1.251651
cross_0.975,0,episode_0011_20260410_011228_856135:19,1.036233
cross_0.975,0,episode_0036_20260410_012124_203616:21,0.983641
cross_0.975,0,episode_0034_20260410_012039_100030:17,0.827581
cross_0.975,0,episode_0028_20260410_011829_055003:18,1.150136
cross_0.975,0,episode_0011_20260410_011228_856135:11,1.078274
cross_0.975,0,episode_0020_20260410_011517_357608:2,1.402833
cross_0.975,0,episode_0003_20260410_010946_600378:14,2.152317
cross_0.975,0,episode_0041_20260410_012346_185785:15,2.161208
cross_0.975,0,episode_0032_20260410_011958_314386:0,2.116678
cross_0.975,0,episode_0009_20260410_011147_027725:12,0.935108
cross_0.975,0,episode_0030_20260410_011910_031319:7,2.259688
cross_0.975,0,episode_0042_20260410_012403_121411:7,1.248604
cross_0.975,0,episode_0038_20260410_012213_950266:5,1.505091
cross_0.975,0,episode_0031_20260410_011933_301436:3,1.361964
cross_0.975,0,episode_0038_20260410_012213_950266:1,1.193395
cross_0.975,0,episode_0022_20260410_011605_263672:5,1.165123
cross_0.975,0,episode_0032_20260410_011958_314386:1,1.208113
cross_0.975,0,episode_0010_20260410_011209_792025:3,1.018081
cross_0.975,0,episode_0013_20260410_011306_565253:3,0.907822
cross_0.975,0,episode_0008_20260410_011125_742216:7,0.912398
cross_0.975,0,episode_0029_20260410_011847_472194:2,0.902595
cross_0.975,0,episode_0044_20260410_012440_275668:18,0.771057
cross_0.975,0,episode_0007_20260410_011103_871596:18,0.818934
cross_0.975,0,episode_0016_20260410_011401_521914:7,0.909639
cross_0.975,0,episode_0025_20260410_011714_535001:17,0.94577
cross_0.975,0,episode_0005_20260410_011022_801344:6,0.743312
cross_0.975,0,episode_0012_20260410_011247_049104:8,0.711161
cross_0.975,0,episode_0023_20260410_011629_901435:14,0.941284
cross_0.975,0,episode_0024_20260410_011654_131430:19,0.810962
cross_0.975,0,episode_0001_20260410_010833_643988:11,0.800463
cross_0.975,0,episode_0017_20260410_011417_292749:1,0.796294
cross_0.975,0,episode_0048_20260410_012613_367191:5,0.858492
cross_0.975,0,episode_0033_20260410_012019_825828:15,0.792831
cross_0.975,0,episode_0042_20260410_012403_121411:1,0.754307
cross_0.975,0,episode_0043_20260410_012421_441671:1,0.649453
cross_0.975,0,episode_0036_20260410_012124_203616:6,1.0585
cross_0.975,0,episode_0001_20260410_010833_643988:7,0.91268
cross_0.975,0,episode_0039_20260410_012242_511766:17,1.242237
cross_0.975,0,episode_0003_20260410_010946_600378:11,0.679024
cross_0.975,0,episode_0013_20260410_011306_565253:14,1.260111
cross_0.975,0,episode_0033_20260410_012019_825828:8,0.944002
cross_0.975,0,episode_0012_20260410_011247_049104:9,0.688089
cross_0.975,0,episode_0032_20260410_011958_314386:3,1.000451
cross_0.975,0,episode_0024_20260410_011654_131430:5,1.074063
cross_0.975,0,episode_0030_20260410_011910_031319:5,0.948271
cross_0.975,0,episode_0044_20260410_012440_275668:1,0.869936
baseline,0,episode_0028_20260410_011829_055003:11,1.203526
baseline,0,episode_0030_20260410_011910_031319:17,1.316853
baseline,0,episode_0035_20260410_012102_164484:16,1.507352
baseline,0,episode_0005_20260410_011022_801344:10,1.227107
baseline,0,episode_0037_20260410_012148_210072:14,1.168765
baseline,0,episode_0023_20260410_011629_901435:0,1.36958
